(Cdad. Mtar.),(CAD. MTAR.)
celentereados,Варенье
celentereo,Celerareo
celenterios,Церецента
celentéreos,Celentéreos.
celera,Целера
celerado,Виолончель
celerar,Постепенно
celeridad,Консервирование
celerizo,Celerizo.
celerífero,Селерос
celerígrado,Преследовать
celerímetro,Целериметр
celerípedo,Celerípedo
celesta,Телеста.
celeste,светло-синий
celestial,небесный
celestina,Целестина
celestinear,Феодалия
celestinesco,Селестинеско.
celia,Celia.
celiaco,целиак
celibato,безбрачие
celibatón,CelibaTón.
celidonia,цеменник
celidueña,Celyidueña.
celinda,Celinda.
celioma,Celiooma.
cellar,подвал
cellenca,Праздновать
cellenco,Cellenco.
cellisca,соревнования
cellisquear,целина
cello,Виолончель.
celo,рвение
celofan,целлофан
celofana,целофаны
celofisis,овладеть
celofán,целлофан
celosa,ревнивый
celosamente,ревностно
celosia,Celosia.
celoso,ревнивый
celosía,Латезия
celotipia,Винтотипы.
celsitud,клетки
celsius,Цельсия
celta,кельтская
celtiberio,Селтиберио
celtibero,Celvibero
celtibérico,кельтская
celtio,Celtio.
celtista,Celtista.
celtohispano,Celtohispano.
celtohispánico,Celtohispanico.
celtíbero,Celtiberian
celula,клетка
celulado,Целлюловать
celular,мобильный
celulario,целлюлозно
celulitis,целлюлит
celuloide,целлулоид
celulosa,целлюлоза
celuloso,подвал
celulósico,Целлюлозный
celícola,розовый
cementación,цементация
cementar,цемент
cementerial,однократный
cementerio,кладбище
cemento,цемент
cementoso,Цеменно.
cemita,Canmite.
cempasuchil,Cempasuchil.
cena,Обед
cenaaoscuras,Ужинание
cenacho,Cenacho.
cenaculo,Cenaculo.
cenada,Ошибка
cenadero,Аренда.
cenado,закусочный
cenador,arbor.
cenaduría,Cenadeuro.
cenagal,боевик
cenagar,Центральный
cenagoso,усердный
cenamerienda,Centeranda.
cenancle,Обед
cenar,пообедать
cenata,Cenata.
cenca,CENCA
cencapa,CENCAPA.
cencerra,центры
cencerrada,Ракада
cencerrear,ворс
cencerreo,jangle.
cencerrería,Празднование
cencerril,Чешский
cencerrillas,центры
cencerro,ковбой
cencerros,Cowbells
cencerrón,центр
cenceño,CENTEANO.
cencha,укрытие
cencido,Cepido.
cencío,Cinner.
cendal,усадьба
cendolilla,Кондолилья
cendra,Cendra.
cendrada,Censarrada.
cendradilla,Конденсация
cendrado,Conegrado.
cendrar,Cendraar.
cenefa,Cenefa.
ceneja,Ceneja.
ceneque,CENEQUE.
cenestopatia,Cenestopatia
cenia,пиннель
cenicero,пепельница
cenicienta,Золушка
ceniciento,Золушка Человек
cenido,в обтяжку
cenit,Zenith
cenital,Антенна.
ceniza,пепел
cenizal,пепел
cenizo,аси
cenizoso,пепел
cenobial,Ценобиал
cenobiarca,Cenobiarca
cenobio,монастырь
cenobita,Ценобита
cenobitismo,CENOBITIMSO.
cenobítico,Кенобит
cenogénesis,ценогенез
cenojil,CENOJIL.
cenoria,оздоровительный
cenoso,асвиде
cenotafio,CENOTAPH.
cenote,Кенота.
cenozoico,CENOZOICO.
censal,перепись
censalero,перепись
censalista,перепись
censar,цензур
censatario,перепись
censido,перепись
censista,перепись
censo,перепись
censonte,перепись
censontle,Щас
censor,цензур
censorino,Censorino.
censorio,перепись
censoría,перепись
censual,перепись
censualista,принудительный
censuar,преследование
censuario,перепись
censura,цензура
censurable,нежелательный
censurador,цензуре
censurar,цензур
censuratorio,перегреваться
censurista,Перепись
cent,Цент.
cent.,Цент
centalla,Централизованно
centaura,Центаурат
centaurea,Центавра
centaureo,CentaWee
centauro,посадка
centavo,пенни
centella,искра
centellador,Twinkler
centellar,мерцание
centellazo,Centellazo
centellear,блеск
centelleo,сцинтилляция
centena,сотни
centenada,сосредоточенный
centenadas,Centenadas
centenal,соревнование
centenar,сотни
centenares,сотни
centenario,Столетие
centenaza,в центре
centenero,кандидат
centeno,рожь
centenoso,столетие
centesimal,Сентеносимальный.
centidonia,Центидония
centigrado,Цельсия
centigramo,Центриграмма
centilitro,Centilitro
centiloquio,сантилок
centinela,сентинель
centinodia,Центинодия
centiplicado,сонципликация
centipondio,Centipondio.
centola,Centola.
centolla,Центолла.
centollo,Cighloe.
centon,лоскутное одеяло
centonar,предстоящий
centrado,сосредоточенный
central,центральный
centralilla,Централизованно
centralismo,Централизма.
centralista,Централиста
centralita,коммутатор
centralización,Централизация
centralizar,централизовать
centrar,центр
centrarse,концентрироваться
centrical,ориентирован
centrifuga,центробежный
centrifugacion,центрифугирование
centrifugación,центрифугирование
centrifugador,центрифуга
centrifugadora,центрифуга
centrifugar,центрифуга
centrina,центрин
centrino,центрин
centripeta,центрипета
centrista,Centrista
centro,центр
centroamericano,Центральный американо.
centrobárico,Centrobaric
centrodonte,центродон
centroesfera,Со временем
centroide,Центроид.
centrosfera,центры
centrífuga,центробежный
centrífugo,центробежный
centrípeto,центростремительный
centum,центральный центр
centuplicación,Центр
centuplicado,Центр
centuplicar,Центр
centuria,век
centurion,Centurion
centurionazgo,Centurionazgo.
centurión,Centurion
centén,центры
centésima,сотая
centésimo,сотая
centígrado,Цельсия
centímetro,сантиметр
centón,лоскутное одеяло
cenutrio,Cenutrium.
cenzalino,Cenzalino.
cenzay,Cenchay.
cenzaya,Censhya.
cenzonte,не мочь
cenzontle,Cenzontle.
cenáculo,Отказ
cení,цена
ceo,ГЕНЕРАЛЬНЫЙ ДИРЕКТОР.
cepa,напряжение
cepeda,Cepeda
cepejón,Cepejón.
cepellón,Cleapelón.
cepera,Cepero.
cepilladora,Чистка
cepilladura,Чистка
cepillamiento,Чистка
cepillar,щетка
cepillarse,щетка
cepillazo,щетка
cepillo,щетка
cepita,CEP.
cepo,акции
ceporro,Cerporro.
cepos,CEPOS.
cepos quedos,Клубника
ceprenar,Черенар.
ceprén,Cepren.
cequia,Zechia.
cequiaje,Cequiaje.
cequión,Yquion.
cera,воск
cerambicido,Cerambiciano.
cerambícidos,Кабелины
ceramica,керамика
ceramista,керамист
ceratias,Ceratias.
cerato,Целеб.
ceratopogonido,Ceratopogonido.
ceraunomancia,CeraUnomancyancy
ceraunomedicina,CeraUnomedicine.
cerbatana,минет
cerbero,Герберри
cerca,Закрыть
cerca de,почти
cercado,прилагается
cercador,мусор
cercadura,корпус
cercana,Закрыть
cercanamente,близко
cercano,рядом
cercanía,близость
cercar,изгородь
cercear,Закрыть.
cercen,Сертив.
cercenadura,рециркумент
cercenamiento,сокращение
cercenar,сокращать
cerceta,Cerceta.
cercha,Cerchen
cerchar,плрича
cerchearse,Закрыть
cerchón,Cerchón.
cercillo,Cercillo.
cerciorar,Убеждаться
cerciorarse,убеждаться
cerco,осадка
cercopiteco,Cercopiteco.
cercote,подсказка
cercén,Серкон
cerda,соу
cerdada,принят на работу
cerdamen,Cerdamen.
cerdear,Сардинский.
cerdeo,Сардин
cerdo,свинья
cerdoso,становиться шириной
cerdudo,цероваться
cereal,злак
cereales,хлопья
cerealicultor,Зерноцеллюстрировать
cerealicultura,Злак
cerealista,злак
cerebelo,мозжечок
cerebral,церебрал
cerebralidad,Церебральность
cerebro,мозг
cerebroespinal,CerebrooPinal
cereceda,Icreceda.
cerecera,церена
cerecero,церемы
cerecilla,Ожерелье
cerecillo,Cerecillo.
ceremonia,церемония
ceremonial,церемониал
ceremoniero,церемомонин
ceremonioso,церемонизм
ceremoniático,церемонизм
cerero,церемония
cerería,Церебриан
ceres,Ceres.
ceresina,Церезина
cereta,Cereta.
cerevisina,Церевизин
cereza,вишня
cerezal,Церезал.
cerezo,Вишневое дерево
cerezo aliso,Олдер Вишня
cereño,вишня
cerificar,подсказка
ceriflor,Ceriflo.
cerilla,совпадение
cerillas,Матчи
cerillera,Cerillera.
cerillero,Мериллеро
cerillo,Cerillo.
cerina,Cerina.
cerio,церий
cermeña,Cermeña.
cermeño,Cermeño.
cernada,краска
